Output format is aligned.
     schemaname      |         table_name          |                      index_name                       | idx_scan | idx_tup_read | idx_tup_fetch | index_size 
 public              | mv_requisitions_for_bind    | mv_requisitions_for_bind_pk                           |        0 |            0 |             0 | 8192 bytes
 public              | mv_restock_alerts           | mv_restock_alerts_pk                                  |        0 |            0 |             0 | 8192 bytes
 storage             | objects                     | name_prefix_search                                    |        0 |            0 |             0 | 16 kB
 auth                | oauth_authorizations        | oauth_auth_pending_exp_idx                            |        0 |            0 |             0 | 8192 bytes
 auth                | oauth_authorizations        | oauth_authorizations_authorization_code_key           |        0 |            0 |             0 | 8192 bytes
 auth                | oauth_authorizations        | oauth_authorizations_authorization_id_key             |        0 |            0 |             0 | 8192 bytes
 auth                | oauth_clients               | oauth_clients_deleted_at_idx                          |        0 |            0 |             0 | 8192 bytes
 auth                | oauth_consents              | oauth_consents_active_client_idx                      |        0 |            0 |             0 | 8192 bytes
 auth                | oauth_consents              | oauth_consents_active_user_client_idx                 |        0 |            0 |             0 | 8192 bytes
 auth                | oauth_consents              | oauth_consents_user_client_unique                     |        0 |            0 |             0 | 8192 bytes
 storage             | objects                     | objects_pkey                                          |        0 |            0 |             0 | 16 kB
 auth                | one_time_tokens             | one_time_tokens_relates_to_hash_idx                   |        0 |            0 |             0 | 32 kB
 realtime            | subscription                | pk_subscription                                       |        0 |            0 |             0 | 8192 bytes
 public              | products                    | products_company_id_sku_unique                        |        0 |            0 |             0 | 16 kB
 pgmq                | q_requisition_outbox_queue  | q_requisition_outbox_queue_pkey                       |        0 |            0 |             0 | 8192 bytes
 pgmq                | q_requisition_outbox_queue  | q_requisition_outbox_queue_vt_idx                     |        0 |            0 |             0 | 8192 bytes
 auth                | users                       | reauthentication_token_idx                            |        0 |            0 |             0 | 8192 bytes
 auth                | users                       | recovery_token_idx                                    |        0 |            0 |             0 | 8192 bytes
 auth                | refresh_tokens              | refresh_tokens_instance_id_idx                        |        0 |            0 |             0 | 16 kB
 auth                | refresh_tokens              | refresh_tokens_instance_id_user_id_idx                |        0 |            0 |             0 | 16 kB
 auth                | refresh_tokens              | refresh_tokens_parent_idx                             |        0 |            0 |             0 | 16 kB
 auth                | refresh_tokens              | refresh_tokens_updated_at_idx                         |        0 |            0 |             0 | 16 kB
 public              | requisition_template_items  | requisition_template_items_pkey                       |        0 |            0 |             0 | 8192 bytes
 storage             | s3_multipart_uploads_parts  | s3_multipart_uploads_parts_pkey                       |        0 |            0 |             0 | 8192 bytes
 storage             | s3_multipart_uploads        | s3_multipart_uploads_pkey                             |        0 |            0 |             0 | 8192 bytes
 auth                | saml_providers              | saml_providers_entity_id_key                          |        0 |            0 |             0 | 8192 bytes
 auth                | saml_providers              | saml_providers_sso_provider_id_idx                    |        0 |            0 |             0 | 8192 bytes
 auth                | saml_relay_states           | saml_relay_states_created_at_idx                      |        0 |            0 |             0 | 8192 bytes
 auth                | saml_relay_states           | saml_relay_states_for_email_idx                       |        0 |            0 |             0 | 8192 bytes
 auth                | saml_relay_states           | saml_relay_states_sso_provider_id_idx                 |        0 |            0 |             0 | 8192 bytes
 supabase_migrations | schema_migrations           | schema_migrations_idempotency_key_key                 |        0 |            0 |             0 | 16 kB
 realtime            | schema_migrations           | schema_migrations_pkey                                |        0 |            0 |             0 | 16 kB
 vault               | secrets                     | secrets_name_idx                                      |        0 |            0 |             0 | 8192 bytes
 vault               | secrets                     | secrets_pkey                                          |        0 |            0 |             0 | 8192 bytes
